"Digital Office.Co., Ltd.","5,000,000",0,0,0,"5,000,000"
"Japan DynaSystems, Inc.","5,000,000",0,0,0,"5,000,000"
Japan Patent Data Service Co.,"5,000,000",0,0,0,"5,000,000"
"N-System Co., Ltd.","5,000,000",0,0,0,"5,000,000"
SYSMEX CORPORATION,"5,000,000",0,0,0,"5,000,000"
"Hitachi, Ltd.","5,000,000",0,0,0,"5,000,000"
Club Tourism International Inc.,"2,000,000",0,0,0,"2,000,000"
"MAPSYSTEM Co., Ltd","2,000,000",0,0,0,"2,000,000"
Canon Argus Logic Inc.,"2,000,000",0,0,0,"2,000,000"
Soka University,"2,000,000",0,0,0,"2,000,000"
TAIYO SYSTEM,"2,000,000",0,0,0,"2,000,000"
BizBase Inc.,"2,000,000",0,0,0,"2,000,000"
transcosmos inc.,"2,000,000",0,0,0,"2,000,000"
"NST Globalist, Inc.","2,000,000",0,0,0,"2,000,000"
"Technical Software Consultant, INC.","2,000,000",0,0,0,"2,000,000"
"IC-Solutions.Co.,Ltd","2,000,000",0,0,0,"2,000,000"
Environmental Research Inst. Inc.,"1,000,000",0,0,0,"1,000,000"
"ZECT, Inc.","1,000,000",0,0,0,"1,000,000"
"Macros Japan, Inc.","1,000,000",0,0,0,"1,000,000"
"Nippon Software Service CO., LTD.","1,000,000",0,0,0,"1,000,000"
Japan Association of Medical Informatics,"1,000,000",0,0,0,"1,000,000"
"Systembit Co., Ltd.","1,000,000",0,0,0,"1,000,000"
"TOKAI-SOFT Co., Ltd.","1,000,000",0,0,0,"1,000,000"
Medical Engineering Institute,"1,000,000",0,0,0,"1,000,000"
"ADWIC Co., Ltd.","1,000,000",0,0,0,"1,000,000"
"Hitachi Solutions West Japan, Ltd.","1,000,000",0,0,0,"1,000,000"
NANO Medical Corporation,"1,000,000",0,0,0,"1,000,000"
exscion Inc.,"1,000,000",0,0,0,"1,000,000"
NTT DATA TERANOS CORPORATION,"1,000,000",0,0,0,"1,000,000"
M-tone,"1,000,000",0,0,0,"1,000,000"
"Nihon Soft Technology Co., Ltd.","1,000,000",0,0,0,"1,000,000"
Kobe City Medical Center General Hospital,"1,000,000",0,0,0,"1,000,000"
Harbor Software Co.,"1,000,000",0,0,0,"1,000,000"
"TKU CO., LTD.","1,000,000",0,0,0,"1,000,000"
Medical IT Laboratory,"1,000,000",0,0,0,"1,000,000"
TRUST BRAIN INC.,"1,000,000",0,0,0,"1,000,000"
"Duarcanum, Inc.","1,000,000",0,0,0,"1,000,000"
"Peak Consulting Group Co., Ltd.","1,000,000",0,0,0,"1,000,000"
Big Valley International Inc.,"1,000,000",0,0,0,"1,000,000"
CTC TECHNOLOGY Corporation,"1,000,000",0,0,0,"1,000,000"
"Chori Co., LTD.","1,000,000",0,0,0,"1,000,000"
"UKnet, Inc.","1,000,000",0,0,0,"1,000,000"
FUJITSU LIMITED,"1,000,000",0,0,0,"1,000,000"
"Hitachi Procurement Service Co., Ltd.","1,000,000",0,0,0,"1,000,000"
Tokyo Healthcare University,"1,000,000",0,0,0,"1,000,000"
MVB,"1,000,000",0,0,0,"1,000,000"
"CIJ Next Co., Ltd.","1,000,000",0,0,0,"1,000,000"
"Medical-i, Inc.","1,000,000",0,0,0,"1,000,000"
"MEDICINA, Inc.","1,000,000",0,0,0,"1,000,000"
"COSMO MEDICAL SYSTEM CO., LTD.","1,000,000",0,0,0,"1,000,000"
Torem Corporation,"1,000,000",0,0,0,"1,000,000"
"Nittsu Information Systems Co., Ltd.","1,000,000",0,0,0,"1,000,000"
Jichi Medical University,"1,000,000",0,0,0,"1,000,000"
SET Software Corporation,"1,000,000",0,0,0,"1,000,000"
Fujishoji Co.Ltd,"1,000,000",0,0,0,"1,000,000"
DENSEISHA,"1,000,000",0,0,0,"1,000,000"
Japan College of Rheumatology,"1,000,000",0,0,0,"1,000,000"
SUN SYSTEM Corporation,"1,000,000",0,0,0,"1,000,000"
"Roops, Inc.","1,000,000",0,0,0,"1,000,000"
"QualiTech, Inc.","1,000,000",0,0,0,"1,000,000"
