"ADWIC Co., Ltd.",ADWIC
"OMRON Corporation",OMRON
"OTSUKA PHARMACEUTICALS CO., LTD.",OTSUKA
"Okazaki City Medical Association",OKAZAKICMA
"Okinawa Information System",OKINAWAIS
"Olympus Corporation",OLYMPUS
"Optimum Technology Corporation",OPTINUM
"Osaka Kessei Research Laboratories, Inc.",OSAKAKASSEI
"Otsuka Pharmaceuticals Tokushima Research Center",OPTRC
"PALTAC Corporation",PALTAC
"PBJ Inc.",PBJ
"PRO&BSC Inc.",PROBSC
"PROAS Co., Ltd.",PROAS
"PSP Corporation",PSP
"Paltac Corporation",PALTAC
"Panasonic Electronic Devices Co., Ltd.",PEDCL
"Peak Consulting Group Co., Ltd.",PEAK
"Planet Corp.",PLANET
"Plus-A Co., Ltd",PLUSA
"Polytechnic University",PLYTECUNIV
"Potato Software, Inc.",POTATO
"QUICK Corp.",QUICK
"QualiTech, Inc.",QUALITECH
"RICOH TECHNOSYSTEMS Co., LTD.",RICHO
"ROCKY Co., Ltd.",ROCKEY
"Rikei Corporation",RIKEI
"Roops, Inc.",ROOPS
"Ryobi Systems Co., Ltd.",RYOBI
"SATT, Inc.",SATT
"SBS Information Systems Co., Ltd.",SBS
"SCAM",SCAM
"SEIKO EPSON CORPORATION",EPSON
"SEIREN Co., Ltd.",SEIREN
"SET Software Corporation",SET
"SGI Japan, Ltd.",SGI
"SPREAD",SPREAD
"SUMITA Optical Glass, Inc.",SUMITA
"SUN SYSTEM Corporation",SUNSYSTEM
"SYSMEX CORPORATION",SYSMEX
"SYSTEX Co., LTD.",SYSTEX
"Sanritsu",SANRITSU
"Sanyodo Books Co., Ltd.",SANYODO
"Seafic Software Corporation",SEAFIC
"Seiren System Service Co., Ltd.",SEIREN
"Shimizu Syntec Corporation",YUYAMA
"Shin Nippon Biomedical Laboratories, Ltd.",SNBL
"Sodachi Hoikuen",SODACHI
"Soka University",SOKAUNIV
"Solcom, Inc.",SOLCOM
"Sophia Inc.",SOPHIA
"Splend Research",SPLEND
"Sumitomo Electric Field System Co., Ltd.",SEFS
"Sumitomo Electric System Solutions Co., Ltd.",SEFS
"Sunnet Corporation",SUNNET
"Symbiosis International, Inc.",SYMBIOSIS
"System Dynamics Inc.",SYSTEMDYNAMICS
"Systembit Co., Ltd.",SYSTEMBIT
"Systemgiken Co., Ltd.",SYSTEMGIKEN
"T&S Research Inc.",TSRI
"TAIYO SYSTEM",TAIYO
"TIS Inc.",TIS
"TKU CO., LTD.",TKU
"TMR Systems",TMRS
"TMR Systems Inc.",TMRS
"TOKAI-SOFT Co., Ltd.",TOKAISOFT
"TOKYO COMPUTER FIDELITY CORP.",TCFC
"TOPPAN M&I LTD.",TOPPAN
"TOSHIBA INFORMATION SYSTEMS CORPORATION",TJ
"TOSHIBA MEDICAL SYSTEMS CORPORATION",CMSC
"TOYO SYSTEM CO., LTD.",TOYO
"TRUST BRAIN INC.",TRUSTBRAIN
"TSR",TSR
"TSUZUKI DENKI CO., LTD.",YUYAMA
"Takachiho UseWare CO.,LTD",TAKACHIHO
"Technical Software Consultant, INC.",TSCI
"Techno Management Solutions Ltd.",TMSL
"Techno Quartz Inc.",TECNOQ
"Techno System Co., Ltd.",TECNOSCL
"The University of Aizu",AIZUUNIV
"The University of Tokyo",TOKYOUNIV
"Tohoku University Hospital",TOHOKUUNIV
"Tokai University School of Medicine",TOKAIUNIV
"Tokyo Healthcare University",THUNIV
"Tomis Systems K.K.",YAMANI
"Torem Corporation",TOREM
"Toshiba Medical Information Systems Corporation",CMSC
"Toshiba Sumiden Medical Information Systems Corporation",CMSC
"Tsuzuki Densan Co., Ltd.",YUYAMA
"UKnet, Inc.",UKNET
"UL Systems, Inc.",ULSYSTEM
"UNIADEX Ltd.",UNIADEX
"UNIADEX, Ltd.",UNIADEX
"UPCROSS Inc.",UPCROSS
"VENDOR SERVICE CO., LTD.",VEBDARSERVICE
"VIAMS Inc.",VIAM
"Van Data System Co., Ltd.",VANDATA
"Vinculum Japan Corporation",VINCULUM
"WISEMAN Co.,Ltd.",WISEMAN
"WISEMAN Co.Ltd.",WISEMAN
"WellDone System Inc.",WELLDONE
"Win Medical Support Center Inc.",WINMEDICAL
"Works Solutions",WORKS
"YAGIMOKU",YAGIMOKU
"Yamaguchi University",YAMAGUCHIUNIV
"Yamani System Service Corporation",YAMANI
"Yokohama Silver Plaza",YOKOHAMASP
"ZECT, Inc.",ZECT
"datacube Co., Ltd.",DATACUBE
"exscion Inc.",EXSCION
"transcosmos inc.",TRACOS
